loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,date,loan_status,zip_code,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,recoveries,collection_recovery_fee,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,total_bal_il,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
20000.0, 36 months,16.02,703.34,C,10+ years,MORTGAGE,66000.0,Verified,2017-05-01,Charged Off,207xx,10.51,0.0,670.0,674.0,2.0,13.0,1.0,2654.0,17.8,35.0,0.0,0.0,0.0,Individual,0.0,0.0,51678.0,3.0,4.0,4.0,5.0,49024.0,4.0,9.0,886.0,82.0,14900.0,2.0,2.0,8.0,14.0,3975.0,0.0,0.0,190.0,1.0,1.0,2.0,0.0,4.0,5.0,4.0,11.0,10.0,9.0,23.0,5.0,13.0,0.0,0.0,8.0,91.3,1.0,0.0,63408.0,51678.0,7000.0,48508.0
12000.0, 36 months,5.32,361.38,A,10+ years,MORTGAGE,150000.0,Not Verified,2017-08-01,Fully Paid,656xx,11.8,0.0,735.0,739.0,2.0,10.0,0.0,137116.0,45.7,48.0,0.0,0.0,0.0,Individual,0.0,0.0,373999.0,1.0,2.0,1.0,4.0,32321.0,1.0,1.0,8095.0,65.0,189200.0,0.0,0.0,3.0,5.0,37400.0,0.0,0.0,246.0,10.0,5.0,5.0,0.0,3.0,4.0,5.0,9.0,31.0,6.0,12.0,4.0,10.0,0.0,0.0,2.0,97.9,0.0,0.0,484929.0,169437.0,39200.0,37729.0
27000.0, 36 months,5.32,813.1,A,8 years,MORTGAGE,130000.0,Not Verified,2016-01-01,Fully Paid,320xx,12.83,0.0,725.0,729.0,1.0,11.0,0.0,28659.0,25.7,23.0,0.0,0.0,0.0,Individual,0.0,0.0,351698.0,1.0,2.0,0.0,0.0,30610.0,0.0,4.0,20307.0,26.0,111600.0,2.0,1.0,5.0,5.0,31973.0,0.0,0.0,277.0,13.0,6.0,3.0,0.0,6.0,6.0,7.0,9.0,7.0,8.0,13.0,6.0,11.0,0.0,0.0,1.0,100.0,0.0,0.0,451673.0,59269.0,105600.0,45507.0
12000.0, 36 months,15.59,419.46,C,10+ years,MORTGAGE,65000.0,Source Verified,2016-09-01,Fully Paid,992xx,20.12,0.0,660.0,664.0,1.0,11.0,0.0,12450.0,92.9,38.0,0.0,0.0,0.0,Individual,0.0,0.0,153935.0,3.0,2.0,1.0,1.0,20926.0,2.0,3.0,2015.0,78.0,13400.0,3.0,0.0,3.0,5.0,13994.0,0.0,0.0,174.0,3.0,3.0,3.0,1.0,6.0,8.0,6.0,17.0,8.0,8.0,26.0,8.0,11.0,0.0,0.0,4.0,89.5,0.0,0.0,165115.0,33376.0,9700.0,29215.0
5000.0, 36 months,8.99,158.98,B,10+ years,MORTGAGE,43000.0,Source Verified,2016-07-01,Charged Off,551xx,8.09,0.0,670.0,674.0,0.0,2.0,0.0,8527.0,99.2,3.0,383.88,34.5492,0.0,Individual,0.0,0.0,8527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4564.0,99.0,8600.0,0.0,0.0,0.0,0.0,4264.0,0.0,0.0,145.0,130.0,123.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,66.7,0.0,0.0,8600.0,8527.0,8600.0,0.0
10000.0, 36 months,6.99,308.73,A,10+ years,MORTGAGE,124000.0,Not Verified,2017-05-01,Fully Paid,875xx,23.18,0.0,745.0,749.0,1.0,10.0,0.0,24756.0,47.1,33.0,0.0,0.0,0.0,Joint App,0.0,0.0,249378.0,1.0,4.0,0.0,3.0,128161.0,1.0,1.0,7687.0,65.0,52600.0,2.0,9.0,2.0,4.0,24938.0,0.0,0.0,198.0,6.0,6.0,3.0,0.0,3.0,4.0,3.0,7.0,20.0,5.0,10.0,4.0,10.0,0.0,0.0,1.0,100.0,0.0,0.0,347016.0,152917.0,44000.0,146416.0
8000.0, 36 months,11.49,263.78,B,6 years,RENT,45000.0,Source Verified,2016-12-01,Charged Off,532xx,5.55,0.0,710.0,714.0,1.0,6.0,1.0,5504.0,34.0,8.0,601.37,108.2466,0.0,Individual,0.0,0.0,5504.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3770.0,34.0,16200.0,0.0,0.0,1.0,3.0,917.0,0.0,0.0,235.0,17.0,17.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,5.0,7.0,3.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,16200.0,5504.0,11800.0,0.0
6000.0, 36 months,6.49,183.87,A,2 years,RENT,30000.0,Source Verified,2016-03-01,Fully Paid,303xx,10.28,0.0,670.0,674.0,0.0,8.0,1.0,1252.0,3.3,31.0,0.0,0.0,0.0,Individual,0.0,0.0,2292.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,638.0,6.0,38500.0,0.0,0.0,0.0,5.0,287.0,0.0,0.0,304.0,10.0,5.0,2.0,2.0,3.0,3.0,6.0,13.0,6.0,7.0,21.0,3.0,8.0,0.0,0.0,2.0,92.0,1.0,0.0,39791.0,2292.0,34200.0,0.0
8000.0, 36 months,10.78,261.08,B,7 years,RENT,53000.0,Source Verified,2016-01-01,Fully Paid,113xx,5.68,0.0,670.0,674.0,1.0,8.0,0.0,18638.0,56.8,15.0,0.0,0.0,0.0,Individual,0.0,0.0,18638.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,6441.0,57.0,32800.0,0.0,0.0,2.0,2.0,2330.0,0.0,0.0,150.0,2.0,2.0,0.0,0.0,6.0,6.0,7.0,8.0,5.0,8.0,10.0,6.0,8.0,0.0,0.0,2.0,86.7,0.0,0.0,32800.0,18638.0,30800.0,0.0
26000.0, 36 months,16.99,926.85,D,2 years,RENT,65000.0,Not Verified,2016-08-01,Fully Paid,945xx,5.93,0.0,715.0,719.0,0.0,6.0,0.0,17518.0,35.9,17.0,0.0,0.0,0.0,Individual,0.0,0.0,17518.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6500.0,36.0,48800.0,0.0,0.0,0.0,2.0,2920.0,0.0,0.0,113.0,6.0,6.0,0.0,0.0,4.0,4.0,6.0,12.0,2.0,6.0,14.0,4.0,6.0,0.0,0.0,1.0,100.0,0.0,0.0,48800.0,17518.0,48800.0,0.0
10000.0, 60 months,14.99,237.85,C,10+ years,OWN,65000.0,Verified,2016-11-01,Fully Paid,928xx,10.8,0.0,690.0,694.0,2.0,18.0,1.0,5433.0,12.2,39.0,0.0,0.0,0.0,Individual,0.0,0.0,23076.0,1.0,1.0,0.0,0.0,17643.0,1.0,9.0,1882.0,31.0,44500.0,0.0,1.0,2.0,9.0,1442.0,0.0,0.0,263.0,2.0,2.0,2.0,0.0,3.0,5.0,6.0,14.0,6.0,17.0,31.0,5.0,17.0,0.0,0.0,1.0,100.0,1.0,0.0,74651.0,23076.0,15100.0,30151.0
16000.0, 36 months,8.39,504.27,B,10+ years,MORTGAGE,80000.0,Not Verified,2016-04-01,Fully Paid,275xx,26.02,0.0,680.0,684.0,0.0,20.0,0.0,14572.0,34.4,37.0,0.0,0.0,0.0,Individual,0.0,762.0,176084.0,2.0,4.0,2.0,2.0,34792.0,1.0,1.0,4186.0,57.0,43100.0,0.0,0.0,0.0,3.0,8804.0,0.0,0.0,131.0,4.0,3.0,1.0,0.0,7.0,11.0,9.0,15.0,11.0,15.0,25.0,11.0,20.0,0.0,0.0,3.0,100.0,0.0,0.0,225093.0,49364.0,26300.0,45993.0
