,loan_amnt,date,dti,zip_code,emp_length,date
4002065,8000.0,2016-11-14,47.34%,785xx,< 1 year,2016-11-14
13782451,10000.0,2018-04-03,17.2%,956xx,< 1 year,2018-04-03
12610716,3000.0,2018-02-06,66.21%,627xx,< 1 year,2018-02-06
13176451,5000.0,2018-03-06,2.69%,302xx,< 1 year,2018-03-06
1921838,5500.0,2016-06-21,11.04%,882xx,5 years,2016-06-21
4899898,1000.0,2017-01-09,5.82%,549xx,< 1 year,2017-01-09
13473026,25000.0,2018-03-20,15.29%,958xx,< 1 year,2018-03-20
20796189,1000.0,2018-12-10,5.27%,757xx,5 years,2018-12-10
5981118,40000.0,2017-03-21,43.83%,604xx,< 1 year,2017-03-21
6946220,5000.0,2017-05-18,-1%,601xx,1 year,2017-05-18
8779250,35000.0,2017-08-14,23.44%,303xx,5 years,2017-08-14
19263625,10000.0,2018-10-18,43.4%,902xx,< 1 year,2018-10-18
3675605,7000.0,2016-10-22,33.23%,382xx,< 1 year,2016-10-22
14053387,10000.0,2018-04-15,29.6%,145xx,< 1 year,2018-04-15
382935,2000.0,2016-02-04,22.46%,919xx,< 1 year,2016-02-04
6739955,35000.0,2017-05-07,28.98%,030xx,< 1 year,2017-05-07
2542368,10000.0,2016-08-03,0.5%,770xx,< 1 year,2016-08-03
9668962,40000.0,2017-09-24,38.94%,290xx,< 1 year,2017-09-24
1897554,5000.0,2016-06-19,36.76%,334xx,< 1 year,2016-06-19
20327629,2500.0,2018-11-25,0.24%,978xx,5 years,2018-11-25
16573260,30000.0,2018-07-16,30.97%,465xx,< 1 year,2018-07-16
20736658,10000.0,2018-12-08,71.7%,922xx,< 1 year,2018-12-08
10455139,8000.0,2017-10-29,100%,112xx,< 1 year,2017-10-29
16784900,40000.0,2018-07-24,40.94%,907xx,< 1 year,2018-07-24
5054756,2500.0,2017-01-18,16.78%,802xx,< 1 year,2017-01-18
5276160,5000.0,2017-02-01,17.91%,325xx,< 1 year,2017-02-01
19651684,7000.0,2018-10-31,18.12%,961xx,< 1 year,2018-10-31
1706346,15000.0,2016-05-26,12.03%,981xx,< 1 year,2016-05-26
11007318,2000.0,2017-11-21,40.25%,145xx,< 1 year,2017-11-21
13182638,5000.0,2018-03-06,12.04%,925xx,< 1 year,2018-03-06
18328538,10000.0,2018-09-15,6.59%,261xx,< 1 year,2018-09-15
12512186,10000.0,2018-02-01,100%,112xx,< 1 year,2018-02-01
16039777,33000.0,2018-06-26,15.79%,770xx,< 1 year,2018-06-26
3639590,100000.0,2016-10-19,-1%,334xx,< 1 year,2016-10-19
19105042,17000.0,2018-10-12,18.52%,085xx,< 1 year,2018-10-12
14229728,3500.0,2018-04-22,0%,125xx,< 1 year,2018-04-22
10294383,2875.0,2017-10-22,31.4%,704xx,< 1 year,2017-10-22
4960133,11550.0,2017-01-12,11.94%,207xx,< 1 year,2017-01-12
18077654,5000.0,2018-09-06,31%,368xx,< 1 year,2018-09-06
3476988,20000.0,2016-10-10,30.34%,085xx,< 1 year,2016-10-10
15858554,28000.0,2018-06-19,39.06%,195xx,< 1 year,2018-06-19
6120061,5500.0,2017-03-30,40.64%,032xx,< 1 year,2017-03-30
9652448,30000.0,2017-09-23,47.75%,495xx,< 1 year,2017-09-23
10299615,35000.0,2017-10-23,19.97%,855xx,< 1 year,2017-10-23
5081816,15000.0,2017-01-20,13.38%,921xx,5 years,2017-01-20
4689648,40000.0,2016-12-26,7.32%,330xx,< 1 year,2016-12-26
11294340,10000.0,2017-12-04,28.21%,190xx,< 1 year,2017-12-04
15263326,5000.0,2018-05-29,0%,672xx,< 1 year,2018-05-29
1408011,20000.0,2016-04-25,22.52%,787xx,< 1 year,2016-04-25
17379900,15000.0,2018-08-14,4.94%,337xx,< 1 year,2018-08-14
6276608,6125.0,2017-04-09,-1%,856xx,5 years,2017-04-09
8278479,15000.0,2017-07-22,16.82%,920xx,< 1 year,2017-07-22
17624198,7500.0,2018-08-22,4.07%,436xx,< 1 year,2018-08-22
1490975,10000.0,2016-05-02,12.72%,891xx,5 years,2016-05-02
13472162,3000.0,2018-03-20,50.71%,133xx,< 1 year,2018-03-20
11987175,12075.0,2018-01-08,100%,080xx,3 years,2018-01-08
20527632,2000.0,2018-12-02,0%,706xx,< 1 year,2018-12-02
15098032,2500.0,2018-05-22,7.14%,226xx,< 1 year,2018-05-22
831143,20000.0,2016-03-14,63.48%,928xx,< 1 year,2016-03-14
18743670,20000.0,2018-09-30,100%,112xx,< 1 year,2018-09-30
20457006,10000.0,2018-11-29,17.05%,302xx,< 1 year,2018-11-29
10252513,3000.0,2017-10-19,14.49%,619xx,< 1 year,2017-10-19
4810578,40000.0,2017-01-04,7.78%,797xx,3 years,2017-01-04
2631053,20000.0,2016-08-09,7.8%,945xx,< 1 year,2016-08-09
8631937,4500.0,2017-08-07,61.76%,209xx,5 years,2017-08-07
10234437,2000.0,2017-10-19,100%,770xx,< 1 year,2017-10-19
3544458,40000.0,2016-10-13,22.34%,079xx,< 1 year,2016-10-13
6025289,5000.0,2017-03-24,8.62%,947xx,< 1 year,2017-03-24
703356,3000.0,2016-03-04,5.63%,107xx,< 1 year,2016-03-04
17450325,10000.0,2018-08-16,33.36%,393xx,< 1 year,2018-08-16
14597970,1000.0,2018-05-05,0%,752xx,< 1 year,2018-05-05
10814605,2000.0,2017-11-13,26.77%,338xx,< 1 year,2017-11-13
17675461,10000.0,2018-08-23,1.88%,851xx,< 1 year,2018-08-23
4248724,25000.0,2016-11-28,4.97%,331xx,< 1 year,2016-11-28
11011180,35000.0,2017-11-21,100%,064xx,< 1 year,2017-11-21
12170083,5000.0,2018-01-16,30.13%,604xx,< 1 year,2018-01-16
19843659,18000.0,2018-11-07,16.93%,300xx,< 1 year,2018-11-07
2527106,2000.0,2016-08-02,9.76%,786xx,< 1 year,2016-08-02
657548,5000.0,2016-03-01,14.84%,852xx,5 years,2016-03-01
16146249,1500.0,2018-06-30,36.07%,337xx,< 1 year,2018-06-30
8614455,2000.0,2017-08-06,5.4%,305xx,5 years,2017-08-06
13367089,5000.0,2018-03-15,50.11%,836xx,< 1 year,2018-03-15
7555589,3000.0,2017-06-18,100%,560xx,< 1 year,2017-06-18
8039389,10000.0,2017-07-12,34.55%,351xx,< 1 year,2017-07-12
13007026,7500.0,2018-02-26,100%,021xx,< 1 year,2018-02-26
11261260,25000.0,2017-12-03,5.2%,191xx,< 1 year,2017-12-03
20866453,10000.0,2018-12-12,19.14%,986xx,< 1 year,2018-12-12
6624966,40000.0,2017-05-01,740.96%,913xx,< 1 year,2017-05-01
10797482,5000.0,2017-11-13,18.88%,565xx,< 1 year,2017-11-13
6361218,10000.0,2017-04-14,67.34%,444xx,< 1 year,2017-04-14
13993921,2000.0,2018-04-12,29%,150xx,< 1 year,2018-04-12
5743214,40000.0,2017-03-05,123.87%,334xx,< 1 year,2017-03-05
7101283,20000.0,2017-05-26,17.81%,370xx,< 1 year,2017-05-26
9152587,20000.0,2017-08-31,16.67%,451xx,< 1 year,2017-08-31
2879385,4500.0,2016-08-26,32.22%,958xx,< 1 year,2016-08-26
17093015,2000.0,2018-08-03,6.56%,765xx,< 1 year,2018-08-03
5909141,5000.0,2017-03-16,6.47%,920xx,< 1 year,2017-03-16
18789139,30000.0,2018-10-02,38.75%,339xx,< 1 year,2018-10-02
14084001,10000.0,2018-04-16,29.18%,316xx,< 1 year,2018-04-16
14605233,12500.0,2018-05-05,42.13%,841xx,< 1 year,2018-05-05
1858370,1000.0,2016-06-15,13.51%,752xx,< 1 year,2016-06-15
16854523,9500.0,2018-07-25,1.27%,080xx,< 1 year,2018-07-25
5352167,25000.0,2017-02-07,30.08%,685xx,< 1 year,2017-02-07
14994789,35000.0,2018-05-18,1900%,913xx,< 1 year,2018-05-18
8370458,2000.0,2017-07-26,0%,044xx,< 1 year,2017-07-26
13170129,1000.0,2018-03-06,14.6%,752xx,< 1 year,2018-03-06
96326,75000.0,2016-01-11,-1%,857xx,< 1 year,2016-01-11
12600099,15300.0,2018-02-06,215.63%,800xx,< 1 year,2018-02-06
13554414,10000.0,2018-03-23,9.4%,381xx,< 1 year,2018-03-23
12719929,5000.0,2018-02-12,1.5%,331xx,< 1 year,2018-02-12
306647,35000.0,2016-01-28,67.31%,782xx,< 1 year,2016-01-28
10286124,40000.0,2017-10-21,23.76%,975xx,< 1 year,2017-10-21
13756112,25000.0,2018-04-02,14.57%,482xx,< 1 year,2018-04-02
5701105,40000.0,2017-03-02,26.76%,310xx,< 1 year,2017-03-02
18822741,10000.0,2018-10-03,19.54%,030xx,< 1 year,2018-10-03
8310778,20000.0,2017-07-24,5.65%,640xx,< 1 year,2017-07-24
4758511,20000.0,2016-12-30,36.09%,722xx,< 1 year,2016-12-30
15506189,21000.0,2018-06-06,1.31%,328xx,< 1 year,2018-06-06
10747443,6000.0,2017-11-10,39.93%,220xx,< 1 year,2017-11-10
12993057,30000.0,2018-02-25,13.82%,112xx,< 1 year,2018-02-25
16138613,4000.0,2018-06-29,2.55%,199xx,< 1 year,2018-06-29
18613224,5000.0,2018-09-25,31.34%,245xx,< 1 year,2018-09-25
9019868,2000.0,2017-08-25,2.04%,553xx,< 1 year,2017-08-25
13776371,15000.0,2018-04-03,23.01%,599xx,< 1 year,2018-04-03
2019548,34000.0,2016-06-27,30.58%,598xx,< 1 year,2016-06-27
7734314,1000.0,2017-06-27,0.15%,787xx,5 years,2017-06-27
2386288,2500.0,2016-07-22,0%,190xx,< 1 year,2016-07-22
19189499,12000.0,2018-10-15,23.12%,221xx,< 1 year,2018-10-15
16337256,40000.0,2018-07-09,4.06%,300xx,< 1 year,2018-07-09
557015,6000.0,2016-02-20,25.2%,104xx,< 1 year,2016-02-20
155508,3000.0,2016-01-15,34%,381xx,< 1 year,2016-01-15
18112054,10000.0,2018-09-07,100%,610xx,< 1 year,2018-09-07
1228619,15000.0,2016-04-11,9999%,930xx,< 1 year,2016-04-11
3920793,9000.0,2016-11-08,29.03%,880xx,5 years,2016-11-08
8228164,5000.0,2017-07-19,4.32%,999xx,< 1 year,2017-07-19
19753493,24075.0,2018-11-04,100%,322xx,< 1 year,2018-11-04
12491471,10000.0,2018-01-31,41.27%,139xx,< 1 year,2018-01-31
9775842,12000.0,2017-09-28,16.5%,494xx,5 years,2017-09-28
5910464,5000.0,2017-03-16,32.53%,116xx,5 years,2017-03-16
18797465,35000.0,2018-10-02,100%,933xx,< 1 year,2018-10-02
20873269,1000.0,2018-12-12,100%,601xx,5 years,2018-12-12
13755028,3000.0,2018-04-02,59.56%,305xx,< 1 year,2018-04-02
996675,10000.0,2016-03-24,11.37%,664xx,< 1 year,2016-03-24
17150495,25000.0,2018-08-06,30.6%,967xx,< 1 year,2018-08-06
19839482,1000.0,2018-11-07,100%,907xx,< 1 year,2018-11-07
7901535,6000.0,2017-07-06,1.5%,944xx,< 1 year,2017-07-06
4473604,2500.0,2016-12-12,15.74%,481xx,5 years,2016-12-12
9560683,40000.0,2017-09-19,49.5%,658xx,< 1 year,2017-09-19
19882633,3000.0,2018-11-08,37.12%,302xx,< 1 year,2018-11-08
14259609,5000.0,2018-04-23,384.87%,601xx,< 1 year,2018-04-23
14458121,10000.0,2018-04-30,0%,461xx,< 1 year,2018-04-30
3733631,35000.0,2016-10-26,45.14%,543xx,< 1 year,2016-10-26
14741565,1000.0,2018-05-10,13.62%,900xx,< 1 year,2018-05-10
10162683,4000.0,2017-10-16,11.02%,602xx,< 1 year,2017-10-16
3257534,8000.0,2016-09-22,16.19%,794xx,< 1 year,2016-09-22
19764997,10000.0,2018-11-05,30.52%,117xx,< 1 year,2018-11-05
5204016,10000.0,2017-01-28,13.43%,403xx,< 1 year,2017-01-28
16241784,10000.0,2018-07-04,12.46%,134xx,2 years,2018-07-04
17134140,30000.0,2018-08-05,46.29%,418xx,< 1 year,2018-08-05
4267230,5000.0,2016-11-29,19.46%,026xx,< 1 year,2016-11-29
945900,5000.0,2016-03-21,15.99%,454xx,< 1 year,2016-03-21
10273197,5000.0,2017-10-20,20.54%,300xx,< 1 year,2017-10-20
19980710,22000.0,2018-11-12,24.02%,779xx,< 1 year,2018-11-12
14994395,8000.0,2018-05-18,1.01%,945xx,< 1 year,2018-05-18
16660541,40000.0,2018-07-19,8.16%,111xx,< 1 year,2018-07-19
12726563,10000.0,2018-02-12,50.49%,730xx,< 1 year,2018-02-12
16643580,10000.0,2018-07-18,17.86%,044xx,< 1 year,2018-07-18
340955,10000.0,2016-02-01,23.41%,076xx,10+ years,2016-02-01
13552441,2500.0,2018-03-23,5.15%,310xx,< 1 year,2018-03-23
13193931,5000.0,2018-03-07,43.72%,891xx,< 1 year,2018-03-07
3052575,3500.0,2016-09-07,7.01%,305xx,< 1 year,2016-09-07
7592702,25000.0,2017-06-20,35.36%,372xx,< 1 year,2017-06-20
18325077,2000.0,2018-09-14,3.1%,906xx,< 1 year,2018-09-14
11840338,20000.0,2017-12-31,32.84%,377xx,< 1 year,2017-12-31
11306983,3000.0,2017-12-05,29.27%,604xx,< 1 year,2017-12-05
15004606,15000.0,2018-05-18,10.53%,961xx,< 1 year,2018-05-18
12563618,25000.0,2018-02-04,7.13%,331xx,< 1 year,2018-02-04
12352703,8000.0,2018-01-24,64.91%,448xx,< 1 year,2018-01-24
11277668,9650.0,2017-12-04,116.4%,986xx,< 1 year,2017-12-04
8728279,15000.0,2017-08-11,0.78%,209xx,< 1 year,2017-08-11
4229818,1000.0,2016-11-28,12.54%,906xx,5 years,2016-11-28
17330722,40000.0,2018-08-12,15.35%,928xx,< 1 year,2018-08-12
15919303,10000.0,2018-06-21,13.44%,371xx,< 1 year,2018-06-21
7999912,7000.0,2017-07-11,23.78%,281xx,< 1 year,2017-07-11
9516634,5000.0,2017-09-18,1.83%,913xx,< 1 year,2017-09-18
5377591,6000.0,2017-02-08,2.32%,110xx,< 1 year,2017-02-08
19506153,30000.0,2018-10-26,11.36%,458xx,< 1 year,2018-10-26
17343657,10000.0,2018-08-13,22.29%,800xx,< 1 year,2018-08-13
20933787,8000.0,2018-12-14,51.34%,357xx,< 1 year,2018-12-14
13714644,2000.0,2018-03-31,674.32%,197xx,< 1 year,2018-03-31
16786907,70000.0,2018-07-24,-1%,206xx,< 1 year,2018-07-24
10108612,35000.0,2017-10-13,-1%,346xx,< 1 year,2017-10-13
7348818,2000.0,2017-06-07,35.38%,301xx,< 1 year,2017-06-07
5266414,15000.0,2017-02-01,25.85%,553xx,< 1 year,2017-02-01
10263405,20000.0,2017-10-20,37.33%,061xx,< 1 year,2017-10-20
14536509,35000.0,2018-05-03,43.52%,782xx,< 1 year,2018-05-03
57383,17000.0,2016-01-07,22.4%,452xx,9 years,2016-01-07
11910952,2500.0,2018-01-04,4.06%,395xx,< 1 year,2018-01-04
16473247,33000.0,2018-07-13,24.38%,301xx,< 1 year,2018-07-13
18229096,7000.0,2018-09-11,17.12%,301xx,< 1 year,2018-09-11
4094376,40000.0,2016-11-17,-1%,921xx,< 1 year,2016-11-17
7671401,1000.0,2017-06-23,5.72%,445xx,5 years,2017-06-23
13221741,12000.0,2018-03-08,30.83%,613xx,< 1 year,2018-03-08
4957575,1500.0,2017-01-12,25.34%,088xx,< 1 year,2017-01-12
9540216,1500.0,2017-09-19,50.86%,150xx,< 1 year,2017-09-19
3010593,20000.0,2016-09-05,46.81%,452xx,5 years,2016-09-05
5975390,30000.0,2017-03-21,100%,381xx,< 1 year,2017-03-21
6790915,1000.0,2017-05-09,-1%,945xx,5 years,2017-05-09
7428787,12000.0,2017-06-12,7.38%,816xx,6 years,2017-06-12
3153315,2500.0,2016-09-14,11.67%,969xx,< 1 year,2016-09-14
3591031,25000.0,2016-10-17,26.05%,296xx,< 1 year,2016-10-17
9691602,3500.0,2017-09-25,32.67%,278xx,< 1 year,2017-09-25
9155802,10000.0,2017-08-31,8.89%,010xx,< 1 year,2017-08-31
21149123,3500.0,2018-12-22,1.85%,945xx,< 1 year,2018-12-22
7971168,1000.0,2017-07-10,10.44%,989xx,5 years,2017-07-10
2703364,10000.0,2016-08-15,30.98%,322xx,< 1 year,2016-08-15
1776688,10000.0,2016-06-09,24.81%,100xx,< 1 year,2016-06-09
7041154,25000.0,2017-05-23,10.65%,161xx,< 1 year,2017-05-23
387274,10000.0,2016-02-05,7.49%,681xx,< 1 year,2016-02-05
13375700,1000.0,2018-03-15,29.1%,354xx,< 1 year,2018-03-15
15538418,16000.0,2018-06-07,30.84%,890xx,< 1 year,2018-06-07
3501738,5000.0,2016-10-11,3%,329xx,5 years,2016-10-11
52098,3000.0,2016-01-06,100%,981xx,< 1 year,2016-01-06
3211717,35000.0,2016-09-19,20.27%,117xx,5 years,2016-09-19
5045183,1000.0,2017-01-18,33.43%,193xx,5 years,2017-01-18
8883610,32525.0,2017-08-18,38.78%,921xx,5 years,2017-08-18
300809,2000.0,2016-01-28,1.65%,082xx,< 1 year,2016-01-28
5081480,10000.0,2017-01-20,77.21%,283xx,< 1 year,2017-01-20
11505042,40000.0,2017-12-13,44.19%,799xx,< 1 year,2017-12-13
17042172,12000.0,2018-08-01,19.44%,191xx,< 1 year,2018-08-01
17119165,10000.0,2018-08-04,25.29%,114xx,< 1 year,2018-08-04
4166686,10000.0,2016-11-22,34.03%,651xx,< 1 year,2016-11-22
1088526,6600.0,2016-03-31,16.39%,895xx,5 years,2016-03-31
16112201,15000.0,2018-06-28,38%,983xx,< 1 year,2018-06-28
13280770,5500.0,2018-03-11,18.79%,606xx,< 1 year,2018-03-11
10521460,12100.0,2017-11-01,62.71%,104xx,10+ years,2017-11-01
13799944,20000.0,2018-04-04,20.61%,088xx,< 1 year,2018-04-04
10415379,20000.0,2017-10-26,41.01%,273xx,< 1 year,2017-10-26
7488010,10000.0,2017-06-14,49.22%,488xx,< 1 year,2017-06-14
19411811,20000.0,2018-10-23,15.98%,660xx,10+ years,2018-10-23
17344186,20000.0,2018-08-13,33.51%,104xx,< 1 year,2018-08-13
13217064,4000.0,2018-03-08,72.62%,648xx,< 1 year,2018-03-08
12397675,20000.0,2018-01-26,10.59%,112xx,< 1 year,2018-01-26
13779266,25000.0,2018-04-03,4.2%,658xx,< 1 year,2018-04-03
6086970,6000.0,2017-03-28,47.79%,932xx,< 1 year,2017-03-28
11418036,3000.0,2017-12-09,0%,042xx,< 1 year,2017-12-09
17108063,8000.0,2018-08-04,49.44%,152xx,< 1 year,2018-08-04
2449247,25000.0,2016-07-27,26.23%,201xx,< 1 year,2016-07-27
9491818,25000.0,2017-09-16,-1%,761xx,< 1 year,2017-09-16
11399525,10000.0,2017-12-08,27.09%,798xx,< 1 year,2017-12-08
13595487,10000.0,2018-03-26,0.29%,554xx,< 1 year,2018-03-26
14967576,6500.0,2018-05-17,17.11%,479xx,1 year,2018-05-17
1067517,10000.0,2016-03-30,33.89%,935xx,< 1 year,2016-03-30
12419037,10000.0,2018-01-27,74.19%,785xx,< 1 year,2018-01-27
4492373,30000.0,2016-12-12,43.67%,448xx,< 1 year,2016-12-12
7842903,10000.0,2017-07-03,47.6%,304xx,< 1 year,2017-07-03
20057971,1500.0,2018-11-14,25.25%,236xx,< 1 year,2018-11-14
11158082,3000.0,2017-11-28,100%,320xx,< 1 year,2017-11-28
12932176,1500.0,2018-02-22,1.29%,086xx,< 1 year,2018-02-22
1882153,7000.0,2016-06-17,14.95%,490xx,5 years,2016-06-17
13952146,35000.0,2018-04-11,33.16%,293xx,< 1 year,2018-04-11
17543677,5000.0,2018-08-19,19.17%,070xx,< 1 year,2018-08-19
14032653,40000.0,2018-04-14,1.72%,207xx,< 1 year,2018-04-14
1407859,8500.0,2016-04-25,49.52%,190xx,5 years,2016-04-25
2945419,16000.0,2016-08-30,43.05%,920xx,< 1 year,2016-08-30
4108789,2000.0,2016-11-18,13.47%,770xx,< 1 year,2016-11-18
3220369,7000.0,2016-09-20,44.91%,377xx,< 1 year,2016-09-20
786443,5000.0,2016-03-10,14.18%,378xx,< 1 year,2016-03-10
8736408,10000.0,2017-08-12,18%,280xx,5 years,2017-08-12
6819736,10000.0,2017-05-11,22.41%,782xx,< 1 year,2017-05-11
2689737,20000.0,2016-08-13,10.34%,707xx,< 1 year,2016-08-13
4585207,40000.0,2016-12-17,40.42%,761xx,< 1 year,2016-12-17
14678971,20000.0,2018-05-08,32.08%,930xx,< 1 year,2018-05-08
4439678,5500.0,2016-12-08,32.75%,294xx,5 years,2016-12-08
10408541,6000.0,2017-10-26,100%,919xx,< 1 year,2017-10-26
3292374,4000.0,2016-09-26,0.86%,494xx,5 years,2016-09-26
7014944,16000.0,2017-05-22,64.95%,018xx,5 years,2017-05-22
3127437,6000.0,2016-09-13,7.29%,486xx,< 1 year,2016-09-13
931233,3000.0,2016-03-20,10.64%,992xx,5 years,2016-03-20
7753391,30000.0,2017-06-28,105.92%,841xx,< 1 year,2017-06-28
20337415,1000.0,2018-11-26,18.55%,330xx,< 1 year,2018-11-26
4621722,2000.0,2016-12-20,1.49%,604xx,< 1 year,2016-12-20
425283,6000.0,2016-02-09,13.27%,088xx,1 year,2016-02-09
15647953,5000.0,2018-06-12,100%,141xx,< 1 year,2018-06-12
12454412,8000.0,2018-01-29,15.39%,900xx,< 1 year,2018-01-29
11232334,25000.0,2017-12-01,33.23%,946xx,< 1 year,2017-12-01
8221648,40000.0,2017-07-19,22.94%,764xx,< 1 year,2017-07-19
3656196,1500.0,2016-10-20,14.13%,913xx,5 years,2016-10-20
16361571,25000.0,2018-07-09,25.77%,770xx,< 1 year,2018-07-09
15702529,2000.0,2018-06-13,0%,315xx,< 1 year,2018-06-13
14099940,35000.0,2018-04-17,0%,482xx,< 1 year,2018-04-17
10339195,8000.0,2017-10-24,15.1%,040xx,< 1 year,2017-10-24
19185683,30000.0,2018-10-15,14.23%,469xx,< 1 year,2018-10-15
13102696,5000.0,2018-03-03,2.52%,372xx,< 1 year,2018-03-03
13062136,5000.0,2018-02-28,22.83%,908xx,< 1 year,2018-02-28
20030403,4000.0,2018-11-14,20.38%,741xx,< 1 year,2018-11-14
20619931,40000.0,2018-12-04,54.8%,751xx,< 1 year,2018-12-04
12436390,35000.0,2018-01-29,28.21%,327xx,< 1 year,2018-01-29
6752480,2000.0,2017-05-08,3.6%,625xx,< 1 year,2017-05-08
11222328,13300.0,2017-12-01,100%,482xx,< 1 year,2017-12-01
14344059,10000.0,2018-04-26,2.29%,281xx,< 1 year,2018-04-26
11135840,15000.0,2017-11-28,1.13%,123xx,< 1 year,2017-11-28
2613801,10000.0,2016-08-09,15.27%,352xx,< 1 year,2016-08-09
16048068,35000.0,2018-06-26,22.34%,770xx,< 1 year,2018-06-26
16216804,4000.0,2018-07-03,100%,273xx,< 1 year,2018-07-03
21221033,30000.0,2018-12-26,39.01%,812xx,< 1 year,2018-12-26
4406397,15000.0,2016-12-07,18.94%,029xx,< 1 year,2016-12-07
10650214,40000.0,2017-11-07,20.78%,291xx,< 1 year,2017-11-07
4022092,10500.0,2016-11-14,9.46%,070xx,< 1 year,2016-11-14
14605151,8000.0,2018-05-05,100%,481xx,< 1 year,2018-05-05
18214263,4000.0,2018-09-11,1.39%,100xx,< 1 year,2018-09-11
6248340,3000.0,2017-04-06,0%,900xx,5 years,2017-04-06
11542361,11700.0,2017-12-14,12.75%,761xx,< 1 year,2017-12-14
21195730,10000.0,2018-12-26,60.43%,330xx,< 1 year,2018-12-26
16572769,12000.0,2018-07-16,6.34%,382xx,< 1 year,2018-07-16
4712703,2000.0,2016-12-28,86.55%,760xx,< 1 year,2016-12-28
4416967,4000.0,2016-12-07,13.81%,442xx,< 1 year,2016-12-07
13166998,35000.0,2018-03-06,19.93%,328xx,< 1 year,2018-03-06
4183556,20000.0,2016-11-23,48.63%,028xx,< 1 year,2016-11-23
18184544,10000.0,2018-09-10,33.82%,207xx,< 1 year,2018-09-10
13626581,30000.0,2018-03-27,100%,431xx,< 1 year,2018-03-27
6304053,35000.0,2017-04-11,49.77%,209xx,< 1 year,2017-04-11
